Id,SalePrice
2658,82965.5483105576
2718,125078.49864150412
2414,218842.20331094446
1989,95891.77136598568
625,164347.11632702648
333,90408.00817001812
1327,100474.43532266123
858,143764.7379261761
95,201616.3417451541
1568,179753.22232001237
2482,148735.4754881175
1364,132017.7930701733
2584,128674.0253766059
818,261007.7961544592
2673,120302.46126817277
2089,27.013116337182012
1297,96991.83389732304
790,129636.15095660706
2616,174883.84880465837
720,184829.27196682926
222,169804.0254084356
557,148341.65880952065
1148,312119.12495381065
2766,9726.996171848146
534,185068.5975072161
1452,127121.88211283243
630,79342.7028983559
2648,56850.818195141735
125,160321.7326424877
1904,31388.13113447669
1670,141172.36532514248
756,1109959.49008428
717,146994.6566245081
1032,111469.77960902886
852,231723.20131642625
1731,164575.95369274222
2639,207527.95354189342
2071,47768.01976437746
1267,113022.97472003482
1851,178094.94306360983
567,145022.50134086743
2439,195279.83022691315
1898,165763.91960227577
647,124511.58572808072
2256,214103.63979400677
979,98563.37257682074
1444,208364.04923272022
2485,130838.38170782305
157,137920.24832928262
88,103339.10156244387
2003,107382.1310951648
186,135064.61988967948
1425,226589.3457317021
2695,111397.00479744049
738,88441.55704884564
395,140020.8659682119
1353,231856.51698892732
1878,130002.93332201688
390,154212.79611857355
1456,227657.5506982966
1103,322579.9227776176
1387,89116.98982854614
2070,166794.37014513824
1199,173015.34497358566
2479,194440.25686722016
501,342110.6742179986
2362,114030.94461411888
1718,208563.31792748455
2188,85302.81087793643
1483,157481.16641044253
2557,69959.65610927288
437,309154.9272911756
2224,261985.85474096748
1628,161371.8760088026
397,138620.31396262997
587,222084.4345618544
971,160103.01897571256
2611,186793.98342510752
1887,162721.24425630693
2399,324955.8689367654
2148,199092.38622809981
304,146143.6248694456
1997,103690.32174333562
2817,45355.0148044315
1431,289333.4110980033
427,259095.81658458518
263,139812.93502114285
598,195246.36620659992
2895,335192.34046052094
687,455160.5408759682
1822,151834.87846571443
2191,108387.14111524852
179,140797.2080133881
1009,199782.8021668346
2010,138261.30625559218
1991,134461.1011256715
1411,181461.28772065561
1721,215298.6867471254
1144,186370.78997486574
593,208574.61371607953
575,548620.9059473264
1249,142621.1340469595
1604,125374.16204506224
1064,117828.66149942302
1923,149602.3870780201
1988,104526.42850420304
2325,182810.07386895167
114,206878.77992329322
2700,172158.27725589104
217,532645.3943583816
343,161577.3945610876
386,198853.96899523214
2005,20864.90802648236
2908,171848.6666121144
1814,194294.89070123172
2446,728335.1296815812
208,223637.1113828251
1679,102334.65334348431
822,339431.70407029305
6,195836.33613930218
1781,405614.0028529738
2397,266519.4498113272
2340,346187.5023191817
1618,144562.90393391976
2843,23.902542209792077
1061,283785.7104625114
2786,163701.55618217136
1935,179541.1985319363
1341,140429.7835122826
521,281029.9880189483
2136,97097.62723713776
996,205572.08066108686
227,147607.26095847797
135,182233.79147294763
1167,168990.7306064014
294,289224.2838069906
1776,208468.20676239175
540,170639.5550449719
1717,217881.49780449664
2303,130331.6742924565
116,148919.28417558534
127,144819.59411567435
1371,111312.2148056098
1014,175978.27386155952
1507,9086.891825886674
702,81196.01812877845
750,164873.52780822944
261,95162.12320395552
1559,86002.32167931346
577,203133.97342898298
2812,193137.47284399677
2080,176527.9797109641
1368,181310.28357975048
2376,128575.22289989164
659,100019.93113843826
1235,147587.67540332355
332,74024.49121126972
1917,78216.57422425314
